step,time_s,red_score,looming,visible,attack,mode,danger_score,forward_velocity,dragonfly_state
2115,0.21149999999999303,0.0,0.0,False,False,normal,0.0,9.301114934305854,rest
2116,0.21159999999999302,0.0,0.0,False,False,normal,0.0,9.300800636128482,rest
2117,0.211699999999993,0.0,0.0,False,False,normal,0.0,9.300486380820224,rest
2118,0.211799999999993,0.0,0.0,False,False,normal,0.0,9.3001713029807,rest
2119,0.21189999999999298,0.0,0.0,False,False,normal,0.0,9.299854841691644,rest
2120,0.21199999999999297,0.0,0.0,False,False,normal,0.0,9.299537067067133,rest
2121,0.21209999999999296,0.0,0.0,False,False,normal,0.0,9.299217461673026,rest
2122,0.21219999999999295,0.0,0.0,False,False,normal,0.0,9.298896200785473,rest
2123,0.21229999999999294,0.0,0.0,False,False,normal,0.0,9.298575442302978,rest
2124,0.21239999999999293,0.0,0.0,False,False,normal,0.0,9.298256440657987,rest
2125,0.21249999999999292,0.0,0.0,False,False,normal,0.0,9.297939378481514,rest
2126,0.2125999999999929,0.0,0.0,False,False,normal,0.0,9.297623687593005,rest
2127,0.2126999999999929,0.0,0.0,False,False,normal,0.0,9.297308462030383,rest
2128,0.21279999999999288,0.0,0.0,False,False,normal,0.0,9.296992827444674,rest
2129,0.21289999999999287,0.0,0.0,False,False,normal,0.0,9.296676194812518,rest
2130,0.21299999999999286,0.0,0.0,False,False,normal,0.0,9.29635864859991,rest
2131,0.21309999999999285,0.0,0.0,False,False,normal,0.0,9.296040402996848,rest
2132,0.21319999999999284,0.0,0.0,False,False,normal,0.0,9.295720741913069,rest
2133,0.21329999999999283,0.0,0.0,False,False,normal,0.0,9.295401112807628,rest
2134,0.21339999999999282,0.0,0.0,False,False,normal,0.0,9.295082475038491,rest
2135,0.2134999999999928,0.0,0.0,False,False,normal,0.0,9.294765116294885,rest
2136,0.2135999999999928,0.0,0.0,False,False,normal,0.0,9.294448869748011,rest
2137,0.21369999999999278,0.0,0.0,False,False,normal,0.0,9.294133390153164,rest
2138,0.21379999999999277,0.0,0.0,False,False,normal,0.0,9.293818388748647,rest
2139,0.21389999999999276,0.0,0.0,False,False,normal,0.0,9.293504113562271,rest
2140,0.21399999999999275,0.0,0.0,False,False,normal,0.0,9.293190771179995,rest
2141,0.21409999999999274,0.0,0.0,False,False,normal,0.0,9.292878293749636,rest
2142,0.21419999999999273,0.0,0.0,False,False,normal,0.0,9.292565693835584,rest
2143,0.21429999999999272,0.0,0.0,False,False,normal,0.0,9.292254275456957,rest
2144,0.2143999999999927,0.0,0.0,False,False,normal,0.0,9.291944956937485,rest
2145,0.2144999999999927,0.0,0.0,False,False,normal,0.0,9.291638075421197,rest
2146,0.21459999999999269,0.0,0.0,False,False,normal,0.0,9.291333564315268,rest
2147,0.21469999999999267,0.0,0.0,False,False,normal,0.0,9.291031178176633,rest
2148,0.21479999999999266,0.0,0.0,False,False,normal,0.0,9.290731055296021,rest
2149,0.21489999999999265,0.0,0.0,False,False,normal,0.0,9.290433160112904,rest
2150,0.21499999999999264,0.0,0.0,False,False,normal,0.0,9.290137139897475,rest
2151,0.21509999999999263,0.0,0.0,False,False,normal,0.0,9.289842548236741,rest
2152,0.21519999999999262,0.0,0.0,False,False,normal,0.0,9.289548192835186,rest
2153,0.2152999999999926,0.0,0.0,False,False,normal,0.0,9.289255365987312,rest
2154,0.2153999999999926,0.0,0.0,False,False,normal,0.0,9.288965116244905,rest
2155,0.2154999999999926,0.0,0.0,False,False,normal,0.0,9.288677978546833,rest
2156,0.21559999999999258,0.0,0.0,False,False,normal,0.0,9.288394081171615,rest
2157,0.21569999999999256,0.0,0.0,False,False,normal,0.0,9.288113663478022,rest
2158,0.21579999999999255,0.0,0.0,False,False,normal,0.0,9.287836590650336,rest
2159,0.21589999999999254,0.0,0.0,False,False,normal,0.0,9.287562289102521,rest
2160,0.21599999999999253,0.0,0.0,False,False,normal,0.0,9.287290066537446,rest
2161,0.21609999999999252,0.0,0.0,False,False,normal,0.0,9.287019406129701,rest
2162,0.2161999999999925,0.0,0.0,False,False,normal,0.0,9.286749533812639,rest
2163,0.2162999999999925,0.0,0.0,False,False,normal,0.0,9.28648096728107,rest
2164,0.2163999999999925,0.0,0.0,False,False,normal,0.0,9.286216574005362,rest
2165,0.21649999999999248,0.0,0.0,False,False,normal,0.0,9.285958400471195,rest
2166,0.21659999999999247,0.0,0.0,False,False,normal,0.0,9.285707578447576,rest
2167,0.21669999999999245,0.0,0.0,False,False,normal,0.0,9.285463835833253,rest
2168,0.21679999999999244,0.0,0.0,False,False,normal,0.0,9.285225701230564,rest
2169,0.21689999999999243,0.0,0.0,False,False,normal,0.0,9.284991428831077,rest
2170,0.21699999999999242,0.0,0.0,False,False,normal,0.0,9.284759746678047,rest
2171,0.2170999999999924,0.0,0.0,False,False,normal,0.0,9.284530506527815,rest
2172,0.2171999999999924,0.0,0.0,False,False,normal,0.0,9.284303489064353,rest
2173,0.2172999999999924,0.0,0.0,False,False,normal,0.0,9.284079576079698,rest
2174,0.21739999999999238,0.0,0.0,False,False,normal,0.0,9.28386192541064,rest
2175,0.21749999999999237,0.0,0.0,False,False,normal,0.0,9.28365310286926,rest
2176,0.21759999999999236,0.0,0.0,False,False,normal,0.0,9.283453865349585,rest
2177,0.21769999999999234,0.0,0.0,False,False,normal,0.0,9.28326378771345,rest
2178,0.21779999999999233,0.0,0.0,False,False,normal,0.0,9.283081651652845,rest
2179,0.21789999999999232,0.0,0.0,False,False,normal,0.0,9.282905872371359,rest
2180,0.2179999999999923,0.0,0.0,False,False,normal,0.0,9.282735247601357,rest
2181,0.2180999999999923,0.0,0.0,False,False,normal,0.0,9.28256940945121,rest
2182,0.2181999999999923,0.0,0.0,False,False,normal,0.0,9.282407661402283,rest
2183,0.21829999999999228,0.0,0.0,False,False,normal,0.0,9.282250546907074,rest
2184,0.21839999999999227,0.0,0.0,False,False,normal,0.0,9.282100884029159,rest
2185,0.21849999999999226,0.0,0.0,False,False,normal,0.0,9.281960590189204,rest
2186,0.21859999999999224,0.0,0.0,False,False,normal,0.0,9.281830216394791,rest
2187,0.21869999999999223,0.0,0.0,False,False,normal,0.0,9.281709151999781,rest
